carpet_area,bedrooms,bathrooms,car_parking,furnishing,transaction_type,floor,total_floors,facing,overlooking,price,lat,long
740,2,2,0,1,1,35,40,West,"Garden/Park, Main Road",1.8,19.205001831054688,72.86927032470703
600,2,2,0,2,1,5,15,West,Main Road,0.45299999999999996,19.46649026,72.79609187
975,2,3,0,1,1,7,9,North - East,Main Road,3.0,19.0531452,72.902321
478,1,2,0,1,1,2,12,West,"Garden/Park, Main Road",0.295,19.469890594482422,72.7994155883789
855,3,3,1,3,0,4,7,North,Garden/Park,2.0,19.162992477416992,72.83930206298828
420,1,2,0,1,0,9,18,North,Main Road,1.1,19.162992477416992,72.83930206298828
480.0,1,1,0,2,0,2,7,,,0.44,19.282169342041016,72.87654113769531
520.0,1,2,0,1,0,12,20,North - East,,1.0,19.1661215178605,72.836387
406,1,2,1,2,1,10,23,West,"Garden/Park, Pool, Main Road",0.297,19.366140365600586,72.85953521728516
535,2,2,0,2,1,7,13,North,"Garden/Park, Main Road",0.38799999999999996,19.4705677,72.80081407
600,2,2,1,1,0,7,19,North,Pool,1.7,19.140793043201,72.8367363728463
500,1,2,0,2,0,6,7,West,Garden/Park,2.0,19.05522918701172,72.83082580566406
1409,3,3,0,1,1,,,,,7.25,19.010207,72.830895
465,1,2,1,1,1,,,,,1.25,19.053946,72.885286
623,2,2,1,1,1,,,,,1.55,19.053946,72.885286
962,3,3,1,1,1,,,,,2.4,19.053946,72.885286
912,3,3,1,1,1,,,,,2.28,19.053946,72.885286
662,2,2,1,1,1,,,,,1.65,19.053946,72.885286
724,2,2,1,1,1,,,,,1.81,19.053946,72.885286
1907,4,4,0,1,1,,,,,11.0,19.010207,72.830895
1500,4,4,0,2,0,8,12,,,10.75,19.07072639465332,72.83612823486328
1300,3,4,0,2,0,16,20,West,Main Road,6.75,19.05522918701172,72.83082580566406
1360,3,5,0,1,1,6,22,West,Main Road,7.75,19.07137680053711,72.84022521972656
630,2,2,0,3,0,2,8,South - East,"Garden/Park, Main Road",1.4,19.210841,72.8755987441594
700,2,2,1,2,0,9,14,East,Garden/Park,2.18,19.0227398,72.8686538
1100,3,3,0,1,0,24,36,West,"Garden/Park, Main Road",3.8,19.0252382034624,72.8670149641765
1100,3,4,0,2,0,5,16,,,6.25,19.05522918701172,72.83082580566406
2200,4,6,0,1,1,45,68,West,Garden/Park,11.0,19.015830993652344,72.82939147949219
1988,4,4,0,1,1,,,,,12.0,19.010207,72.830895
1964,4,4,0,1,1,,,,,11.0,19.010207,72.830895
1404,3,3,0,1,1,,,,,7.25,19.010207,72.830895
2500,4,5,0,1,1,17,33,West,"Pool, Garden/Park, Main Road",11.0,19.129737854003906,72.82915496826172
320.0,2,2,8,1,1,5,14,West,Main Road,0.9,19.136736,72.822532
490,2,1,2,2,0,1,4,,,0.6,19.3059516,72.8539134
780,2,2,0,1,1,4,11,East,"Garden/Park, Main Road",1.35,19.1161491,72.8844877
1234,3,3,1,2,1,29,50,East,"Garden/Park, Pool, Main Road",4.0,18.99331,72.847938
850,2,2,0,2,1,,,,,2.85,18.973263,72.832355
850,2,2,0,2,1,,,,,2.85,18.973263,72.832355
850,2,2,0,2,1,,,,,2.85,18.973263,72.832355
850,2,2,0,2,1,,,,,2.85,18.973263,72.832355
850,2,2,0,2,1,,,,,2.85,18.973263,72.832355
463,1,2,0,1,0,14,20,East,"Garden/Park, Main Road",0.88,19.1568879,72.9406028
425,1,2,0,1,1,7,7,North,"Garden/Park, Main Road",2.0,19.1630508890225,72.8366038944189
850,2,3,0,2,1,10,66,West,Main Road,7.0,18.945724487304688,72.82376098632812
1500,3,3,2,2,0,7,31,North - West,"Garden/Park, Pool",8.6,19.01143,72.830312
1000,2,2,2,1,0,10,28,West,Main Road,4.5,18.9713471584846,72.8402257834657
482,1,1,1,1,1,3,7,East,"Garden/Park, Main Road",1.35,19.129737854003906,72.82915496826172
988,3,3,0,2,1,10,15,North - East,Main Road,1.35,19.280212,72.884079
413,1,2,1,1,1,5,20,North - East,Garden/Park,0.5329999999999999,19.273876,72.880675
620,2,2,1,1,1,9,17,North - East,Garden/Park,0.79,19.265946,72.880409
630,2,2,1,1,1,9,20,North - East,Garden/Park,0.797,19.273876,72.880675
430,1,2,1,1,1,9,17,North - East,Garden/Park,0.575,19.26654463,72.87938079
450,1,2,1,1,1,9,23,North,Garden/Park,0.5920000000000001,19.2660631,72.87120786
620,2,2,1,1,1,9,23,North - East,Garden/Park,0.778,19.2660631,72.87120786
474,1,2,0,2,1,19,22,North - East,Main Road,0.5479999999999999,19.2833292,72.8589183
1050,3,3,3,3,0,30,36,West,"Garden/Park, Pool, Main Road",2.9,19.17450806,72.83458096
487,1,2,1,2,1,2,22,North - East,Garden/Park,0.63,19.2884786,72.87791126
384.0,1,1,0,1,0,4,8,,Garden/Park,0.91,19.210841,72.8755987441594
410,1,1,1,2,0,5,7,West,Main Road,1.45,19.0227398,72.8686538
2000,4,4,0,1,1,,,,,12.0,19.010207,72.830895
2486,5,5,0,1,1,,,,,15.0,19.010207,72.830895
956,3,3,1,1,1,,,,,2.39,19.053946,72.885286
1041,3,3,1,1,1,,,,,2.6,19.053946,72.885286
897,3,2,0,1,1,20,28,East,"Garden/Park, Main Road",2.23,19.214379,72.87259
900,3,3,1,2,0,7,16,East,"Garden/Park, Main Road",2.85,19.0227398,72.8686538
1753,4,4,0,1,1,,,,,9.0,19.010207,72.830895
2500,4,5,0,2,0,5,14,,,11.0,19.07137680053711,72.84022521972656
2100,4,6,0,3,0,7,12,West,"Garden/Park, Pool",19.0,19.108097076416016,72.83226013183594
805,2,2,1,1,0,7,36,North,"Garden/Park, Main Road",1.85,19.1565825242268,72.938552
480.0,1,1,1,2,0,10,19,North - East,Main Road,0.86,19.180321,72.837298
840.0,2,2,1,2,0,4,8,North,Garden/Park,1.31,19.2128086,72.833888
750,2,2,3,2,1,1,14,East,"Garden/Park, Main Road",0.67,19.282769,72.859789
394,1,2,1,1,1,13,22,East,Main Road,0.71,19.247005,72.871754
765,2,2,2,1,1,4,33,East,"Garden/Park, Main Road",1.67,19.149089,72.836862
1150,3,3,1,1,0,3,15,North - East,Main Road,3.75,19.115297,72.839762
670,2,2,2,1,1,5,23,East,"Garden/Park, Main Road",2.0,19.114625,72.884696
421,1,2,1,1,1,1,21,East,"Garden/Park, Pool",0.85,19.195988,72.868512
861,2,2,0,1,1,11,22,East,"Garden/Park, Main Road",2.07,19.19405855,72.836282
700,2,2,0,1,1,20,36,East,"Main Road, Garden/Park, Pool",1.55,19.1856689453125,72.84489440917969
730,2,2,0,1,0,4,7,East,"Main Road, Garden/Park",1.65,19.2478365502073,72.8563827915892
520.0,2,2,0,1,0,13,18,East,,1.75,19.250059127807617,72.84921264648438
512.0,2,2,0,1,0,5,6,East,Main Road,1.5,19.2500595,72.8492066
1409,3,3,1,1,1,3,18,North - East,"Garden/Park, Pool, Main Road",7.08,19.0761113053486,72.8289380204498
943,3,3,0,2,1,8,10,East,"Garden/Park, Main Road",2.8,19.250059127807617,72.84921264648438
691,2,2,0,1,1,14,20,East,"Garden/Park, Main Road",1.49,19.20171356201172,72.84622192382812
1034,3,3,1,1,1,12,64,East,"Garden/Park, Pool, Main Road",2.49,19.2248756,72.863143
1081,3,3,2,1,1,12,62,East,"Garden/Park, Pool, Main Road",6.0,19.1137131,72.8610097
790,2,2,1,1,1,9,13,East,"Garden/Park, Pool, Main Road",4.15,19.069289,72.837155
888,2,2,1,1,1,9,22,East,"Garden/Park, Pool, Main Road",2.22,19.111397,72.901428
972,2,2,1,1,1,9,40,East,"Garden/Park, Pool, Main Road",2.9,19.03731,72.87871
2190,3,3,2,1,0,24,117,East,"Garden/Park, Pool, Main Road",10.0,19.001640226154105,72.826532
1446,3,3,1,1,1,1,44,North - East,Garden/Park,4.25,19.149339991082904,72.84707134487347
,3,3,0,2,1,8,10,North - East,"Garden/Park, Pool",2.6,19.250059127807617,72.84921264648438
668,2,2,0,1,0,2,22,East,"Garden/Park, Main Road",1.5,19.2523379,72.849549
985,3,3,0,1,1,3,21,North - East,Main Road,2.5,19.240022659301758,72.85269165039062
260,1,1,0,1,0,1,7,East,"Garden/Park, Main Road",0.68,19.250059127807617,72.84921264648438
1370,3,4,2,1,0,23,28,North - East,Main Road,5.4,19.1417141806255,72.828495599599
844,2,2,2,1,1,4,20,East,"Garden/Park, Main Road",1.68,19.10919095,72.8846914
769,2,2,1,1,1,21,23,North,"Garden/Park, Main Road",1.45,19.11486,72.849964
998,2,2,1,1,0,10,30,North,Garden/Park,2.3,19.140336,72.933281
827,3,3,1,1,0,2,7,North,Garden/Park,2.05,19.210841,72.8755987441594
1264,3,3,2,1,1,4,30,East,"Garden/Park, Main Road",4.2,19.129387,72.827935
782,2,2,1,1,1,10,22,East,"Garden/Park, Pool, Main Road",1.98,19.20819993,72.83488619
734,2,2,1,1,0,2,8,East,Main Road,1.82,18.953264236450195,72.82611083984375
650,2,2,1,2,0,4,7,East,"Garden/Park, Main Road",1.32,19.2110349093203,72.8623646039943
972,3,3,1,1,1,14,41,North - West,"Garden/Park, Main Road",2.49,19.1852372,72.9487585
768,2,2,1,1,0,27,54,North,"Garden/Park, Main Road",2.05,19.2062083,72.872531
802,2,2,1,1,1,5,42,North - West,"Garden/Park, Main Road",2.06,19.1852372,72.9487585
5319,5,5,4,1,1,26,56,East,Main Road,42.0,18.99706,72.818401
1900,3,4,0,2,0,22,54,South,"Main Road, Garden/Park, Pool",6.5,19.0038320445835,72.8505157603601
590,1,2,1,1,0,2,13,East,"Pool, Garden/Park, Main Road",1.0,19.1170396718557,72.8899287377671
725,2,2,0,1,0,7,12,East,"Garden/Park, Pool, Main Road",1.15,19.2839322,72.8682927
381,1,1,0,1,0,12,17,East,"Garden/Park, Pool, Main Road",1.5,19.113631,72.905609
1500,4,4,2,1,0,8,20,East,"Garden/Park, Pool",3.5,19.209505,72.8720716
458,1,2,1,1,1,11,22,East,"Garden/Park, Pool, Main Road",1.2,19.2402484,72.8651524
720,2,2,2,1,1,5,16,East,"Garden/Park, Main Road",2.25,19.139307,72.808469
1900,3,3,0,1,0,48,54,South - East,"Main Road, Garden/Park, Pool",6.25,19.0038320445835,72.8505157603601
1300,3,3,1,2,0,2,15,North - East,Main Road,3.0,19.115297,72.839762
1034,3,3,1,1,1,15,64,East,"Garden/Park, Main Road",2.74,19.2248756,72.863143
917,3,3,2,1,1,5,9,East,"Garden/Park, Main Road",2.1,19.12258624,72.86705
1500,3,4,2,2,0,26,34,West,"Garden/Park, Pool, Main Road",5.5,19.14882883,72.82842716
3118,5,5,4,1,0,7,18,North - East,Garden/Park,12.0,19.0536152,72.8963369
927,3,3,2,1,1,5,17,East,"Garden/Park, Main Road",2.13,19.1228392525584,72.8845296323174
728,2,2,1,1,1,11,42,East,"Garden/Park, Pool, Main Road",2.32,19.220761,72.858095
1314,3,3,2,1,1,4,27,East,"Garden/Park, Main Road",4.32,19.1417141806255,72.828495599599
410,1,1,0,3,0,7,7,East,Garden/Park,0.88,19.210841,72.8755987441594
670,2,2,2,1,1,4,23,East,"Garden/Park, Main Road",2.0,19.114625,72.884696
1100,3,3,1,1,0,11,36,North - East,"Garden/Park, Main Road",2.75,19.160486,72.945419
730,2,2,1,1,0,2,7,East,"Pool, Garden/Park, Main Road",1.5,19.1173533,72.892838
1235,3,4,2,1,1,11,18,East,"Garden/Park, Pool, Main Road",4.75,19.048042,72.919006
630,2,2,0,1,1,6,7,East,,1.7,19.129737854003906,72.82915496826172
878,3,2,2,1,1,20,22,North,"Garden/Park, Pool, Main Road",2.4,19.114625,72.884696
1113,3,3,2,1,1,6,23,East,"Garden/Park, Main Road",3.15,19.114625,72.884696
1050,3,3,1,2,0,3,28,East,Garden/Park,2.45,19.218041,72.8717202
871,3,2,1,2,1,11,22,North,Main Road,1.25,19.2996583333333,72.8704216666667
721,2,2,1,1,1,9,12,East,"Garden/Park, Main Road",2.01,19.216476,72.837834
1314,3,3,2,1,1,4,27,East,"Garden/Park, Main Road",4.45,19.1417141806255,72.828495599599
580,1,1,0,1,1,1,5,,Garden/Park,0.265,19.4615421295166,72.82003021240234
1606,4,4,2,1,1,6,27,East,"Garden/Park, Main Road",5.9,19.1417141806255,72.828495599599
1002,3,2,1,1,1,5,20,East,"Garden/Park, Main Road",5.5,19.056172,72.848893
747,2,2,1,1,1,5,21,East,"Garden/Park, Main Road",2.5,19.129887,72.836147
577,2,2,1,1,1,10,18,East,"Garden/Park, Main Road",1.34,19.186607,72.942094
417,1,2,1,1,1,10,18,East,"Garden/Park, Main Road",0.94,19.186607,72.942094
770,2,2,1,1,1,1,21,North - West,"Garden/Park, Pool",1.99,19.110012,72.897886
757,2,2,1,1,1,5,19,North - East,"Garden/Park, Main Road",3.0,19.0592961079791,72.8500034446739
395,1,2,1,1,1,8,20,East,"Garden/Park, Pool, Main Road",0.95,19.20730134,72.87768265
1730,5,5,3,1,0,20,29,East,"Garden/Park, Pool",7.0,19.1417141806255,72.828495599599
645,1,1,0,1,1,3,7,,Garden/Park,0.31,19.458627700805664,72.81934356689453
655,2,2,1,1,1,9,36,North - West,"Garden/Park, Pool, Main Road",1.45,19.166837,72.935637
1203,3,3,2,2,0,15,25,North - East,"Garden/Park, Main Road",2.65,19.140336,72.933281
1810,4,4,1,1,1,19,41,North - West,Garden/Park,4.65,19.1852372,72.9487585
1047,3,3,2,1,0,14,54,North,Garden/Park,2.75,19.2062083,72.872531
897,3,2,1,2,1,10,28,East,Garden/Park,2.05,19.214379,72.87259
550,1,2,1,2,0,3,3,East,Main Road,1.4,19.079069137573242,72.90797424316406
780,2,2,1,1,0,3,24,East,Garden/Park,1.55,19.2151113738065,72.8630036219008
750,2,2,0,1,0,18,20,East,"Garden/Park, Pool, Main Road",1.85,19.210844,72.875677
600,2,2,1,1,0,11,20,East,Main Road,1.64,19.105165,72.9001526
1052,3,3,1,1,0,12,21,North,Garden/Park,2.7,19.21458019,72.87133267
452,1,2,1,1,1,5,13,East,Garden/Park,0.27899999999999997,19.47017354,72.80075083
478,1,2,1,2,1,6,7,South -West,"Garden/Park, Main Road",0.327,19.468063354492188,72.79920196533203
711,2,2,0,2,1,3,7,West,"Main Road, Garden/Park",2.15,19.0504924,72.8906205
990,3,3,0,2,1,9,12,East,Main Road,2.8,19.0504924,72.8906205
400,1,2,0,1,1,6,11,East,Main Road,1.0,19.0504924,72.8906205
1000,3,3,1,1,1,10,14,North,"Garden/Park, Main Road",3.4,19.0508931559751,72.9048221431727
1800,4,4,2,1,1,11,14,North - East,"Garden/Park, Main Road",6.5,19.0531452,72.902321
700,2,2,0,1,1,8,14,East,"Garden/Park, Main Road",2.2,19.02273941040039,72.86865234375
1732,4,4,3,2,0,13,30,South -West,"Garden/Park, Pool, Main Road",6.35,19.1210474171554,72.9175910576415
650,2,2,1,2,0,8,10,North - East,Garden/Park,1.35,19.201016,72.825331
1600,4,4,0,2,1,30,40,North - West,"Main Road, Garden/Park, Pool",8.5,19.00639,72.828689
600,2,2,0,2,0,3,12,East,Main Road,2.0,19.129737854003906,72.82915496826172
444,1,2,1,3,0,6,6,East,,1.3,19.250059127807617,72.84921264648438
323,1,2,1,1,1,11,22,North - East,"Garden/Park, Pool, Main Road",0.52,19.1475,72.927071
1200,3,3,1,1,1,9,15,East,"Garden/Park, Main Road",4.0,19.053752036687,72.897835009998
436,1,2,1,1,1,,,,,1.22,19.053946,72.885286
850,2,2,0,1,0,11,13,West,Main Road,0.835,19.2958957,72.8701606
1000,3,3,0,2,0,6,9,East,"Garden/Park, Main Road",3.0,19.233531951904297,72.83919525146484
430,1,2,0,2,0,5,9,East,"Garden/Park, Main Road",1.15,19.233531951904297,72.83919525146484
737,2,2,0,1,0,,,East,"Garden/Park, Pool, Main Road",2.3,19.129887,72.836147
424,1,1,1,2,0,5,7,West,"Garden/Park, Main Road",1.4,19.0227398,72.8686538
700,2,2,0,1,0,8,16,East,"Garden/Park, Main Road",2.2,19.0227398,72.8686538
650,2,2,1,3,0,5,10,East,Garden/Park,1.55,19.18897247314453,72.82200622558594
682,2,3,1,2,0,11,15,East,"Garden/Park, Pool, Main Road",1.55,19.11132745,72.90133335
1203,3,3,2,2,0,13,26,North,"Garden/Park, Main Road",2.67,19.140336,72.933281
1080,3,3,3,2,0,25,36,North,"Garden/Park, Main Road",2.25,19.1565825242268,72.938552
306,1,1,1,1,0,16,24,East,"Garden/Park, Main Road",0.52,19.202483,72.822777
438,1,2,2,2,1,6,14,East,"Garden/Park, Main Road",1.0,19.0570479,72.8847716
796,2,2,1,1,0,21,56,East,Main Road,6.36,18.99706,72.818401
1196,3,3,1,2,0,4,18,North,Garden/Park,2.6,19.216866,72.86649054
810,2,2,1,1,0,2,22,East,Garden/Park,2.25,19.20957,72.871523
807,2,2,1,1,1,12,58,East,"Garden/Park, Pool, Main Road",2.66,19.191842,72.83458123
640,2,2,1,1,1,,,East,"Garden/Park, Pool, Main Road",1.75,19.250606536865234,72.84698486328125
648,2,2,1,1,1,7,20,East,"Garden/Park, Main Road",1.37,19.19641876220703,72.80659484863281
1080,3,3,1,2,0,17,36,North,"Garden/Park, Main Road",2.2,19.1565825242268,72.938552
811,2,2,1,2,0,19,36,North - East,"Garden/Park, Main Road",1.85,19.1565825242268,72.938552
3200,4,4,0,1,0,38,57,East,"Garden/Park, Pool",6.48,19.183819,72.861116
600,2,2,0,2,0,3,7,East,Garden/Park,1.6,19.208746,72.873196
800,3,3,0,1,0,4,7,South,Garden/Park,2.1,19.21101951599121,72.87171936035156
650,2,2,0,3,0,4,7,East,Garden/Park,1.7,19.2066537,72.8721535
400,1,2,0,2,0,4,7,North,Garden/Park,1.05,19.208746,72.873196
550,2,2,0,3,0,4,8,South,Garden/Park,1.5,19.210841,72.8755987441594
1700,4,4,0,1,0,18,45,East,"Garden/Park, Pool",4.18,19.183819,72.861116
582.4,1,2,1,2,0,3,20,East,Garden/Park,1.45,19.103399,72.926719
1150,3,3,1,1,0,3,8,East,Main Road,7.05,18.97685432434082,72.80873107910156
1420.8,4,4,2,1,0,12,19,North - East,Garden/Park,3.6,19.2155828164431,72.8744334637385
400,1,1,1,3,0,2,7,North - West,Garden/Park,0.6,19.2732249,72.8608696
250,,1,0,2,0,7,7,South,"Garden/Park, Main Road",0.9,18.976564407348633,72.83280944824219
600,2,2,1,1,0,5,8,East,Main Road,1.35,19.179798,72.8377729
764,2,2,1,1,0,5,9,East,Main Road,2.63,19.11632,72.859021
370,1,1,0,3,0,5,20,East,"Garden/Park, Main Road",0.42,19.15117073059082,72.8908920288086
440,1,2,0,1,0,14,17,East,Garden/Park,1.25,19.1228392525584,72.8845296323174
425,1,1,0,1,0,1,5,West,,0.34700000000000003,19.2614657,73.1231469
950,3,3,0,1,0,6,15,West,"Main Road, Garden/Park, Pool",0.7929999999999999,19.2614657,73.1231469
1020,3,2,1,2,0,10,29,North - East,"Garden/Park, Main Road",2.28,19.140336,72.933281
420,1,2,1,1,1,10,23,East,"Garden/Park, Main Road",0.8,19.205378,72.824021
3250,4,5,0,2,1,10,10,East,Garden/Park,24.0,72.8145980834961,19.005489349365234
1467,4,4,2,1,0,31,76,North - East,"Garden/Park, Pool, Main Road",7.45,19.004138,72.8270133
577,2,2,1,1,1,11,18,North - East,"Garden/Park, Pool, Main Road",1.22,19.186607,72.942094
440,1,2,1,2,0,11,22,West,"Garden/Park, Main Road",1.0,19.16950126,72.87111984
1200,3,3,2,2,0,15,25,East,Main Road,5.0,19.140062,72.829136
843,2,2,2,1,0,7,12,North,Garden/Park,4.18,19.05522918701172,72.83082580566406
740.0,2,1,1,1,0,2,7,East,Main Road,0.61,19.3707545,72.814414
1112,3,3,2,1,1,10,39,South -West,Main Road,2.3,19.170591,72.937278
723,2,2,1,1,1,18,45,East,Main Road,1.59,19.170591,72.937278
765,2,2,2,1,1,5,33,East,"Garden/Park, Main Road",1.65,19.149089,72.836862
989,3,3,2,1,1,5,33,East,"Garden/Park, Main Road",2.3,19.149089,72.836862
880,3,3,1,1,1,18,20,East,"Garden/Park, Pool, Main Road",2.75,19.046411,72.915765
4650,5,5,3,2,0,6,33,North - East,"Garden/Park, Pool, Main Road",21.98,19.1508537582477,72.8328921902958
1068.0,3,3,1,3,0,20,22,West,Garden/Park,2.4,19.194356,72.830819
1075,3,3,0,2,1,18,33,East,Garden/Park,2.2,19.1421051,72.9310245
825,3,2,1,3,0,7,24,East,"Main Road, Garden/Park, Pool",3.4,19.21757792,72.83877933
1250,3,2,2,2,0,2,5,East,"Garden/Park, Main Road",3.27,19.1726564,72.8679114
400,1,1,11,2,0,6,9,East,"Garden/Park, Main Road",0.24,19.359469,72.869451
400,1,2,0,1,0,7,14,East,"Garden/Park, Main Road",0.34,19.35912924,72.858229
650,2,2,1,1,1,11,12,East,Garden/Park,1.55,19.227331161499023,72.86373138427734
430,1,2,0,2,0,5,8,East,"Garden/Park, Main Road",0.85,19.255380630493164,72.85381317138672
2100,4,4,2,3,0,3,7,East,Main Road,8.99,19.220169067382812,72.84635925292969
1056,3,3,0,1,1,7,26,North - East,"Pool, Main Road",1.9,19.206448,72.8233516980957
550,2,2,1,3,0,5,8,North,Garden/Park,1.54,19.210841,72.8755987441594
1335,3,3,0,1,1,,,,,6.75,19.010207,72.830895
1343,3,3,0,1,1,,,,,6.75,19.010207,72.830895
1000,3,3,0,1,0,12,15,East,Garden/Park,2.25,19.0891767514315,72.9174748550923
550,1,2,0,3,0,14,15,East,Garden/Park,1.17,19.0891767514315,72.9174748550923
